Country,Region,Population,Infant_Mortality,GDP_per_capita
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,"17,7",9000
Maldives ,ASIA (EX. NEAR EAST)         ,359008,"56,52",3900
Mali ,SUB-SAHARAN AFRICA                 ,11716829,"116,79",900
Malta ,WESTERN EUROPE                     ,400214,"3,89",17700
Marshall Islands ,OCEANIA                            ,60422,"29,45",1600
Martinique ,LATIN AMER. & CARIB    ,436131,"7,09",14400
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,"70,89",1800
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,"15,03",11400
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,"62,4",2600
Mexico ,LATIN AMER. & CARIB    ,107449525,"20,91",9000
"Micronesia, Fed. St. ",OCEANIA                            ,108004,"30,21",2000
Moldova ,C.W. OF IND. STATES ,4466706,"40,42",1800
Monaco ,WESTERN EUROPE                     ,32543,"5,43",27000
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,"53,79",1800
Montserrat ,LATIN AMER. & CARIB    ,9439,"7,35",3400
Morocco ,NORTHERN AFRICA                    ,33241259,"41,62",4000
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,"130,79",1200
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,"48,98",7200
Nauru ,OCEANIA                            ,13287,"9,95",5000
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,"66,98",1400
Netherlands ,WESTERN EUROPE                     ,16491461,"5,04",28600
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,"10,03",11400
New Caledonia ,OCEANIA                            ,219246,"7,72",15000
New Zealand ,OCEANIA                            ,4076140,"5,85",21600
Nicaragua ,LATIN AMER. & CARIB    ,5570129,"29,11",2300
Niger ,SUB-SAHARAN AFRICA                 ,12525094,"121,69",800
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,"98,8",900
N. Mariana Islands ,OCEANIA                            ,82459,"7,11",12500
Norway ,WESTERN EUROPE                     ,4610820,"3,7",37800
Oman ,NEAR EAST                          ,3102229,"19,51",13100
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,"72,44",2100
Palau ,OCEANIA                            ,20579,"14,84",9000
Panama ,LATIN AMER. & CARIB    ,3191319,"20,47",6300
Papua New Guinea ,OCEANIA                            ,5670544,"51,45",2200
Paraguay ,LATIN AMER. & CARIB    ,6506464,"25,63",4700
Peru ,LATIN AMER. & CARIB    ,28302603,"31,94",5100
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,"23,51",4600
Poland ,EASTERN EUROPE                     ,38536869,"8,51",11100
Portugal ,WESTERN EUROPE                     ,10605870,"5,05",18000
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,"8,24",16800
Qatar ,NEAR EAST                          ,885359,"18,61",21500
Reunion ,SUB-SAHARAN AFRICA                 ,787584,"7,78",5800
Romania ,EASTERN EUROPE                     ,22303552,"26,43",7000
Russia ,C.W. OF IND. STATES ,142893540,"15,39",8900
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,"91,23",1300
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,19,2500
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,"14,49",8800
Saint Lucia ,LATIN AMER. & CARIB    ,168458,"13,53",5400
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,"7,54",6900
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,"14,78",2900
Samoa ,OCEANIA                            ,176908,"27,71",5600
San Marino ,WESTERN EUROPE                     ,29251,"5,73",34600
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,"43,11",1200
Saudi Arabia ,NEAR EAST                          ,27019731,"13,24",11800
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,"55,51",1600
Serbia ,EASTERN EUROPE                     ,9396411,"12,89",2200
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,"15,53",7800
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,"143,64",500
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,"2,29",23700
Slovakia ,EASTERN EUROPE                     ,5439448,"7,41",13300
Slovenia ,EASTERN EUROPE                     ,2010347,"4,45",19000
Solomon Islands ,OCEANIA                            ,552438,"21,29",1700
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,"116,7",500
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,"61,81",10700
Spain ,WESTERN EUROPE                     ,40397842,"4,42",22000
